prompt,options,answer,explanation,topic
She ___ to school every day.,go|goes|going,goes,"In the present simple the third person singular takes an s.",present simple
They ___ at the moment.,work|works|are working,are working,"At the moment signals the present continuous.",present continuous
I ___ never been to Spain.,have|has|had,have,"Present perfect with I always takes have.",present perfect
We ___ the film last night.,watch|watched|have watched,watched,"Last night is a finished time, so the past simple is right.",past simple
This is ___ book I told you about.,a|an|the,the,"The is used for something the listener already knows about.",articles
He is ___ honest man.,a|an|the,an,"An goes before a vowel sound, and the h in honest is silent.",articles
There ___ two problems with the plan.,is|are|be,are,"Two problems is plural, so the verb is are.",agreement
If it rains tomorrow we ___ at home.,stay|will stay|stayed,will stay,"A first conditional pairs a present tense if clause with will.",conditionals
She is taller ___ her brother.,than|then|that,than,"Than is used for comparison. Then is about time.",comparatives
This is the ___ coffee in town.,good|better|best,best,"A superlative is used when comparing more than two things.",superlatives
I have been waiting ___ two hours.,since|for|from,for,"For is used with a length of time. Since is used with a starting point.",prepositions
He apologised ___ being late.,for|of|about,for,"Apologise is followed by for.",prepositions
The letter ___ yesterday.,sent|was sent|has sent,was sent,"The letter did not act, so the sentence is passive.",passive
She asked me where I ___.,live|lived|had live,lived,"Reported speech shifts the present simple back to the past simple.",reported speech
I would rather ___ at home tonight.,stay|to stay|staying,stay,"Would rather is followed by a bare infinitive.",verb patterns
He suggested ___ the train.,take|to take|taking,taking,"Suggest is followed by an ing form.",verb patterns
We are looking forward ___ you.,to see|to seeing|seeing,to seeing,"Look forward to is followed by an ing form.",verb patterns
You ___ smoke in here.,do not have to|must not|need not,must not,"Must not is a prohibition. Do not have to means it is optional.",modals
___ you mind opening the window?,Do|Would|Are,Would,"Would you mind is the standard polite request.",modals
Neither of the answers ___ correct.,is|are|were,is,"Neither takes a singular verb in careful written English.",agreement
By the time we arrived the film ___.,started|has started|had started,had started,"The past perfect marks the earlier of two past events.",past perfect
I wish I ___ more free time.,have|had|will have,had,"Wish about the present takes a past tense form.",subjunctive
