hungarian,english,example,category
alma,apple,She packed an apple for lunch.,food
kenyér,bread,We buy fresh bread every morning.,food
tej,milk,There is no milk left in the fridge.,food
reggeli,breakfast,I never skip breakfast.,food
ebéd,lunch,Lunch is at half past twelve.,food
vacsora,dinner,Dinner is ready in ten minutes.,food
ház,house,They moved into a bigger house.,home
lakás,flat,Her flat is on the third floor.,home
konyha,kitchen,The kitchen needs painting.,home
kert,garden,We grow tomatoes in the garden.,home
ablak,window,Could you open the window?,home
ajtó,door,Please shut the door behind you.,home
munka,work,He starts work at nine.,work
főnök,boss,My boss is away this week.,work
fizetés,salary,The salary is paid monthly.,work
értekezlet,meeting,The meeting ran over by an hour.,work
határidő,deadline,We missed the deadline by a day.,work
barát,friend,She is an old friend of mine.,people
szomszéd,neighbour,Our neighbour feeds the cat.,people
testvér,sibling,He has two siblings.,people
nagyszülő,grandparent,Both grandparents live nearby.,people
fáradt,tired,I was too tired to cook.,adjectives
elfoglalt,busy,She is busy until Thursday.,adjectives
megbízható,reliable,He is a reliable colleague.,adjectives
drága,expensive,That jacket looks expensive.,adjectives
olcsó,cheap,The tickets were surprisingly cheap.,adjectives
könnyű,easy,The test was easier than expected.,adjectives
nehéz,difficult,Hungarian is difficult to learn.,adjectives
gyors,quick,We had a quick coffee.,adjectives
lassú,slow,The internet is slow today.,adjectives
megérteni,to understand,I did not understand the question.,verbs
elmagyarázni,to explain,Could you explain that again?,verbs
eldönteni,to decide,We decided to stay another night.,verbs
megpróbálni,to try,She tried to call you twice.,verbs
emlékezni,to remember,I cannot remember his name.,verbs
elfelejteni,to forget,Do not forget your keys.,verbs
javasolni,to suggest,He suggested a different route.,verbs
nincs mit,you are welcome,Thanks for helping. You are welcome.,phrases
mindegy,it does not matter,Tea or coffee? It does not matter.,phrases
nem baj,never mind,Never mind. We can go tomorrow.,phrases
